kind,event,lag,mean_corr
ordinary peak,178342,40,0.14225028455257416
ordinary peak,178342,50,0.1694999486207962
ordinary peak,178342,60,0.19017945230007172
ordinary peak,178342,70,0.16557848453521729
ordinary peak,178342,80,0.15944994986057281
ordinary peak,178342,90,0.11010520160198212
ordinary peak,219725,-90,0.09001046419143677
ordinary peak,219725,-80,0.07386884838342667
ordinary peak,219725,-70,0.15023240447044373
ordinary peak,219725,-60,0.161843404173851
ordinary peak,219725,-50,0.15038985013961792
ordinary peak,219725,-40,0.12447250634431839
ordinary peak,219725,-30,0.15246766805648804
ordinary peak,219725,-20,0.21697509288787842
ordinary peak,219725,-10,0.18821021914482117
ordinary peak,219725,0,0.3063071668148041
ordinary peak,219725,10,0.3000084161758423
ordinary peak,219725,20,0.3370431959629059
ordinary peak,219725,30,0.29138290882110596
ordinary peak,219725,40,0.31799498200416565
ordinary peak,219725,50,0.37277159094810486
ordinary peak,219725,60,0.4759409427642822
ordinary peak,219725,70,0.42684057354927063
ordinary peak,219725,80,0.4112350344657898
ordinary peak,219725,90,0.2561791241168976
ordinary peak,261060,-90,0.10339757800102234
ordinary peak,261060,-80,0.12885349988937378
ordinary peak,261060,-70,0.17910981178283691
ordinary peak,261060,-60,0.28166690468788147
ordinary peak,261060,-50,0.3010828197002411
ordinary peak,261060,-40,0.33492785692214966
ordinary peak,261060,-30,0.31830817461013794
ordinary peak,261060,-20,0.31297293305397034
ordinary peak,261060,-10,0.2786789834499359
ordinary peak,261060,0,0.24961338937282562
ordinary peak,261060,10,0.24951550364494324
ordinary peak,261060,20,0.13903333246707916
ordinary peak,261060,30,0.10353177040815353
ordinary peak,261060,40,0.062254492193460464
ordinary peak,261060,50,0.10283398628234863
ordinary peak,261060,60,0.09615089744329453
ordinary peak,261060,70,0.23289057612419128
ordinary peak,261060,80,0.22260157763957977
ordinary peak,261060,90,0.2377578169107437
ordinary peak,302033,-80,0.014810574240982533
ordinary peak,302033,-70,0.02389662154018879
ordinary peak,302033,-60,0.01597515307366848
ordinary peak,302033,-50,0.03983291983604431
ordinary peak,302033,-40,0.07822180539369583
ordinary peak,302033,-30,0.13910305500030518
ordinary peak,302033,-20,0.13871467113494873
ordinary peak,302033,-10,0.09516093879938126
ordinary peak,302033,0,0.03270292282104492
ordinary peak,302033,10,0.051385942846536636
ordinary peak,302033,20,0.0217764750123024
ordinary peak,302033,30,0.02827342040836811
ordinary peak,302033,40,0.017539065331220627
ordinary peak,302033,50,0.03298237919807434
ordinary peak,302033,60,0.07734113931655884
ordinary peak,302033,70,0.14528201520442963
ordinary peak,302033,80,0.15589487552642822
ordinary peak,302033,90,0.09740480035543442
ordinary peak,346640,-20,0.19645945727825165
ordinary peak,346640,-10,0.10201627761125565
ordinary peak,346640,0,0.06819413602352142
ordinary peak,346640,10,0.12123780697584152
